	grid_num	northeast	southwest	raw_data	keywords	addresses	landmarks	subregion	streets
32	33	(47.705250431840206, 9.264192730246144)	(47.70255214584781, 9.260194539923045)	[{'AddressNumber': '4', 'Country': 'DEU', 'Geometry': {'Point': [9.26077, 47.70353]}, 'Interpolated': False, 'Label': 'Kindergarten Krippengruppe Sommertal, Lichtenwiesen 4, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Lichten wiesen', 'SubRegion': 'Bodenseekreis', 'Category': 'School'}]	['School']	['Lichtenwiesen 4, 88709, Meersburg, Baden-Württemberg, DEU']	['Kindergarten Krippengruppe Sommertal']	['Bodenseekreis']	['Lichtenwiesen']
33	34	(47.70525036221777, 9.268190095361232)	(47.70255207623192, 9.264191698758731)	[]	[]	[]	[]	[]	[]
34	35	(47.70525029259533, 9.272187460470997)	(47.70255200661602, 9.268188857589095)	[{'AddressNumber': '18', 'Country': 'DEU', 'Geometry': {'Point': [9.27132, 47.70491]}, 'Interpolated': False, 'Label': 'Volksbank, Kurallee 18, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Kur allee', 'SubRegion': 'Bodenseekreis', 'Category': 'ATM'}, {'AddressNumber': '18', 'Country': 'DEU', 'Geometry': {'Point': [9.27132, 47.70491]}, 'Interpolated': False, 'Label': 'Volksbank, Kurallee 18, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Kur allee', 'SubRegion': 'Bodenseekreis', 'Category': 'Bank'}, {'AddressNumber': '18', 'Country': 'DEU', 'Geometry': {'Point': [9.27132, 47.70491]}, 'Interpolated': False, 'Label': 'Dr. med. Klaus Schön, Kurallee 18, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Kur allee', 'SubRegion': 'Bodenseekreis', 'Category': 'Medical Clinic'}, {'AddressNumber': '18', 'Country': 'DEU', 'Geometry': {'Point': [9.27132, 47.70491]}, 'Interpolated': False, 'Label': 'Restaurant Augustinum Seniorenresidenz Meersburg, Kurallee 18, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Kur allee', 'SubRegion': 'Bodenseekreis', 'Category': 'Restaurant'}]	['ATM', 'Bank', 'Medical Clinic', 'Restaurant']	['Kurallee 18, 88709, Meersburg, Baden-Württemberg, DEU']	['Volksbank', 'Dr. med. Klaus Schön', 'Restaurant Augustinum Seniorenresidenz Meersburg']	['Bodenseekreis']	['Kurallee']
35	36	(47.70525022297289, 9.27618482557544)	(47.70255193700012, 9.272186016414139)	[]	[]	[]	[]	[]	[]
36	37	(47.705250153350455, 9.280182190674559)	(47.70255186738424, 9.27618317523386)	[]	[]	[]	[]	[]	[]
37	38	(47.705250083728025, 9.284179555768356)	(47.702551797768336, 9.28018033404826)	[]	[]	[]	[]	[]	[]
38	39	(47.70525001410559, 9.288176920856829)	(47.70255172815244, 9.284177492857339)	[]	[]	[]	[]	[]	[]
39	40	(47.70524994448315, 9.29217428593998)	(47.70255165853655, 9.288174651661095)	[{'AddressNumber': '16', 'Country': 'DEU', 'Geometry': {'Point': [9.28856, 47.70316]}, 'Interpolated': False, 'Label': 'Elisabeth, Alter Ortsweg 16, 88709, Meersburg, Riedetsweiler, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Alter Orts weg', 'SubRegion': 'Bodenseekreis', 'Category': 'Hotel'}, {'AddressNumber': '16', 'Country': 'DEU', 'Geometry': {'Point': [9.28856, 47.70316]}, 'Interpolated': False, 'Label': 'Elisabeth, Alter Ortsweg 16, 88709, Meersburg, Riedetsweiler, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Alter Orts weg', 'SubRegion': 'Bodenseekreis', 'Category': 'Lodging'}]	['Hotel', 'Lodging']	['Alter Ortsweg 16, 88709, Meersburg, Riedetsweiler, Baden-Württemberg, DEU']	['Elisabeth']	['Bodenseekreis']	['AlterOrtsweg']
40	41	(47.70524987486071, 9.296171651017808)	(47.70255158892066, 9.292171810459529)	[]	[]	[]	[]	[]	[]
41	42	(47.705249805238275, 9.300169016090313)	(47.70255151930476, 9.296168969252642)	[]	[]	[]	[]	[]	[]
